timestamp,sample_id,ue_id,pdcp_sdu_volume_dl_kb,pdcp_sdu_volume_ul_kb,rlc_sdu_delay_dl_us,ue_throughput_dl_kbps,ue_throughput_ul_kbps,prb_total_dl,prb_total_ul,experiment_phase,latency_us
2026-01-11T23:17:17.975368,1,2,12.0,12.0,623.86,13.73,15.42,103,425,baseline,1768168069803926
2026-01-11T23:17:18.976117,2,2,12.0,12.0,634.71,13.01,14.31,111,424,baseline,1768168070804455
2026-01-11T23:17:19.973834,3,2,12.0,11.0,384.29,13.01,14.7,101,458,baseline,1768168071803205
2026-01-11T23:17:20.975289,4,2,12.0,12.0,443.14,13.75,15.24,113,456,baseline,1768168072804133
2026-01-11T23:17:21.975392,5,2,12.0,12.0,435.5,13.01,14.15,101,429,baseline,1768168073803989
2026-01-11T23:17:22.975374,6,2,12.0,12.0,292.71,13.73,15.35,99,471,baseline,1768168074803755
2026-01-11T23:17:23.975035,7,2,12.0,12.0,296.11,13.75,15.25,95,453,baseline,1768168075803795
2026-01-11T23:17:24.975612,8,2,11.0,11.0,466.62,12.31,14.49,105,450,baseline,1768168076803936
2026-01-11T23:17:25.974723,9,2,12.0,12.0,451.86,12.98,14.23,100,438,baseline,1768168077803451
2026-01-11T23:17:26.975102,10,2,12.0,12.0,386.14,13.7,15.86,80,459,baseline,1768168078804022
2026-01-11T23:17:27.973967,11,2,12.0,12.0,471.67,13.73,15.58,85,490,baseline,1768168079803472
2026-01-11T23:17:28.975350,12,2,12.0,12.0,364.71,13.78,14.82,100,473,baseline,1768168080804377
2026-01-11T23:17:29.974936,13,2,12.0,12.0,526.0,13.01,14.37,80,411,baseline,1768168081803583
2026-01-11T23:17:30.975777,14,2,12.0,12.0,670.33,13.75,16.09,115,493,baseline,1768168082803573
2026-01-11T23:17:31.974997,15,2,13.0,13.0,454.62,14.47,15.52,95,464,baseline,1768168083803817
2026-01-11T23:17:32.974591,16,2,12.0,12.0,239.33,13.73,15.58,115,478,baseline,1768168084803572
2026-01-11T23:17:33.975741,17,2,10.0,10.0,460.17,11.57,13.81,95,391,baseline,1768168085804437
