timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes
1768176845540384,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,139971,129788,5705,5802,0,0,0,0,569,12,0,0,0,0,0,0,0,0,0,0,0
1768176845541494,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,139971,129788,5705,5807,0,0,4294967180,0,570,14,5,15,17,330,0,0,0,0,0,5,255
1768176845549294,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140094,129904,5710,5807,0,0,0,0,571,12,5,15,17,330,0,0,0,0,0,5,255
1768176845559114,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140094,129904,5710,5807,0,0,0,0,572,11,5,15,17,330,0,0,0,0,0,5,255
1768176845569329,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140094,129904,5710,5807,0,0,0,0,573,10,5,15,17,330,0,0,0,0,0,5,255
1768176845579210,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140094,129904,5710,5807,0,0,0,0,574,8,5,15,17,330,0,0,0,0,0,5,255
1768176845589448,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140094,129904,5710,5807,0,0,0,0,575,9,5,15,17,330,0,0,0,0,0,5,255
1768176845599539,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140094,129904,5710,5807,0,0,0,0,576,6,5,15,17,330,0,0,0,0,0,5,255
1768176845609241,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140094,129904,5710,5807,0,0,0,0,577,4,5,15,17,330,0,0,0,0,0,5,255
1768176845619634,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140094,129904,5710,5807,0,0,0,0,578,3,5,15,17,330,0,0,0,0,0,5,255
1768176845629313,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140094,129904,5710,5807,0,0,0,0,579,3,5,15,17,330,0,0,0,0,0,5,255
1768176845639277,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140094,129904,5710,5812,0,0,4294967180,0,580,2,5,15,17,330,0,0,0,0,0,5,255
1768176845649384,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5812,0,0,0,0,581,1,5,15,17,330,0,0,0,0,0,5,255
1768176845659364,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5812,0,0,0,0,581,18,5,15,17,330,0,0,0,0,0,5,255
1768176845669219,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5812,0,0,0,0,582,19,5,15,17,330,0,0,0,0,0,5,255
1768176845679389,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5812,0,0,0,0,583,17,5,15,17,330,0,0,0,0,0,5,255
1768176845689010,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5812,0,0,0,0,584,16,5,15,17,330,0,0,0,0,0,5,255
1768176845699296,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5812,0,0,0,0,585,16,5,15,17,330,0,0,0,0,0,5,255
1768176845709052,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5812,0,0,0,0,586,13,5,15,17,330,0,0,0,0,0,5,255
1768176845719155,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5812,0,0,0,0,587,13,5,15,17,330,0,0,0,0,0,5,255
1768176845729482,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5812,0,0,0,0,588,12,5,15,17,330,0,0,0,0,0,5,255
1768176845739507,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5812,0,0,0,0,589,12,5,15,17,330,0,0,0,0,0,5,255
1768176845749241,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140217,130020,5715,5817,0,0,4294967180,0,590,11,5,15,17,330,0,0,0,0,0,5,255
1768176845759288,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130136,5720,5817,0,0,0,0,591,11,5,15,17,330,0,0,0,0,0,5,255
1768176845769409,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130136,5720,5817,0,0,0,0,592,11,5,15,17,330,0,0,0,0,0,5,255
1768176845779184,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130136,5720,5817,0,0,0,0,593,11,5,15,17,330,0,0,0,0,0,5,255
1768176845789189,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130136,5720,5817,0,0,0,0,594,9,5,15,17,330,0,0,0,0,0,5,255
1768176845799723,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130136,5720,5817,0,0,0,0,595,7,5,15,17,330,0,0,0,0,0,5,255
1768176845809326,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130136,5720,5817,0,0,0,0,596,3,5,15,17,330,0,0,0,0,0,5,255
1768176845819336,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130136,5720,5817,0,0,0,0,597,2,5,15,17,330,0,0,0,0,0,5,255
1768176845829155,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130136,5720,5817,0,0,0,0,598,0,5,15,17,330,0,0,0,0,0,5,255
1768176845839205,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130136,5720,5817,0,0,0,0,598,17,5,15,17,330,0,0,0,0,0,5,255
1768176845849001,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130136,5720,5817,0,0,0,0,600,0,5,15,17,330,0,0,0,0,0,5,255
1768176845859435,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140340,130252,5720,5822,0,0,0,0,600,17,5,15,17,330,0,0,0,0,0,5,255
1768176845869138,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130252,5725,5822,0,0,0,0,601,13,5,15,17,330,0,0,0,0,0,5,255
1768176845879880,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130252,5725,5822,0,0,0,0,602,11,5,15,17,330,0,0,0,0,0,5,255
1768176845889210,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130252,5725,5822,0,0,0,0,603,7,5,15,17,330,0,0,0,0,0,5,255
1768176845900250,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130252,5725,5822,0,0,0,0,604,7,5,15,17,330,0,0,0,0,0,5,255
1768176845909179,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130252,5725,5822,0,0,0,0,605,4,5,15,17,330,0,0,0,0,0,5,255
1768176845920384,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130252,5725,5822,0,0,0,0,606,0,5,15,17,330,0,0,0,0,0,5,255
1768176845929329,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130252,5725,5822,0,0,0,0,606,14,5,15,17,330,0,0,0,0,0,5,255
1768176845939154,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130252,5725,5822,0,0,0,0,608,3,5,15,17,330,0,0,0,0,0,5,255
1768176845949434,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130252,5725,5822,0,0,0,0,609,3,5,15,17,330,0,0,0,0,0,5,255
1768176845959253,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130252,5725,5827,0,0,4294967180,0,610,2,5,15,17,330,0,0,0,0,0,5,255
1768176845969252,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140463,130368,5725,5827,0,0,0,0,610,17,5,15,17,330,0,0,0,0,0,5,255
1768176845979124,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140586,130368,5730,5827,0,0,0,0,611,13,5,15,17,330,0,0,0,0,0,5,255
1768176845989498,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140586,130368,5730,5827,0,0,0,0,612,12,5,15,17,330,0,0,0,0,0,5,255
1768176845999579,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140586,130368,5730,5827,0,0,0,0,613,10,5,15,17,330,0,0,0,0,0,5,255
1768176846008868,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140586,130368,5730,5827,0,0,0,0,614,8,5,15,17,330,0,0,0,0,0,5,255
1768176846019431,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140586,130368,5730,5827,0,0,0,0,615,15,5,15,17,330,0,0,0,0,0,5,255
1768176846029308,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140586,130368,5730,5827,0,0,0,0,616,17,5,15,17,330,0,0,0,0,0,5,255
1768176846039080,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140586,130368,5730,5827,0,0,0,0,617,18,5,15,17,330,0,0,0,0,0,5,255
1768176846049337,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140586,130368,5730,5827,0,0,0,0,618,14,5,15,17,330,0,0,0,0,0,5,255
1768176846059358,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140586,130368,5730,5827,0,0,0,0,619,12,5,15,17,330,0,0,0,0,0,5,255
1768176846069122,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140586,130368,5730,5832,0,0,4294967180,0,620,11,5,15,17,330,0,0,0,0,0,5,255
1768176846079667,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5832,0,0,0,0,621,8,5,15,17,330,0,0,0,0,0,5,255
1768176846089871,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5832,0,0,0,0,622,4,5,15,17,330,0,0,0,0,0,5,255
1768176846099349,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5832,0,0,0,0,623,0,5,15,17,330,0,0,0,0,0,5,255
1768176846109416,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5832,0,0,0,0,623,16,5,15,17,330,0,0,0,0,0,5,255
1768176846120395,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5832,0,0,0,0,624,13,5,15,17,330,0,0,0,0,0,5,255
1768176846129149,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5832,0,0,0,0,625,11,5,15,17,330,0,0,0,0,0,5,255
1768176846139603,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5832,0,0,0,0,626,11,5,15,17,330,0,0,0,0,0,5,255
1768176846149223,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5832,0,0,0,0,627,10,5,15,17,330,0,0,0,0,0,5,255
1768176846159137,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5832,0,0,0,0,628,10,5,15,17,330,0,0,0,0,0,5,255
1768176846169221,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5832,0,0,0,0,629,12,5,15,17,330,0,0,0,0,0,5,255
1768176846179237,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140709,130484,5735,5837,0,0,4294967180,0,630,10,5,15,17,330,0,0,0,0,0,5,255
1768176846189078,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140832,130600,5740,5837,0,0,0,0,631,9,5,15,17,330,0,0,0,0,0,5,255
1768176846199151,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140832,130600,5740,5837,0,0,0,0,632,7,5,15,17,330,0,0,0,0,0,5,255
1768176846208951,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140832,130600,5740,5837,0,0,0,0,633,6,5,15,17,330,0,0,0,0,0,5,255
1768176846219495,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140832,130600,5740,5837,0,0,0,0,634,8,5,15,17,330,0,0,0,0,0,5,255
1768176846229157,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140832,130600,5740,5837,0,0,0,0,635,7,5,15,17,330,0,0,0,0,0,5,255
1768176846239403,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140832,130600,5740,5837,0,0,0,0,636,8,5,15,17,330,0,0,0,0,0,5,255
1768176846249688,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140832,130600,5740,5837,0,0,0,0,637,9,5,15,17,330,0,0,0,0,0,5,255
1768176846259056,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140832,130600,5740,5837,0,0,0,0,638,8,5,15,17,330,0,0,0,0,0,5,255
1768176846269307,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140832,130600,5740,5837,0,0,0,0,639,11,5,15,17,330,0,0,0,0,0,5,255
1768176846279379,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140832,130600,5740,5842,0,0,4294967180,0,640,12,5,15,17,330,0,0,0,0,0,5,255
1768176846289340,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140955,130716,5745,5842,0,0,0,0,641,12,5,15,17,330,0,0,0,0,0,5,255
1768176846299490,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140955,130716,5745,5842,0,0,0,0,642,13,5,15,17,330,0,0,0,0,0,5,255
1768176846309174,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140955,130716,5745,5842,0,0,0,0,643,12,5,15,17,330,0,0,0,0,0,5,255
1768176846319646,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140955,130716,5745,5842,0,0,0,0,644,12,5,15,17,330,0,0,0,0,0,5,255
1768176846329137,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140955,130716,5745,5842,0,0,0,0,645,11,5,15,17,330,0,0,0,0,0,5,255
1768176846339578,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140955,130716,5745,5842,0,0,0,0,646,10,5,15,17,330,0,0,0,0,0,5,255
1768176846349365,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140955,130716,5745,5842,0,0,0,0,647,9,5,15,17,330,0,0,0,0,0,5,255
1768176846359108,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140955,130716,5745,5842,0,0,0,0,648,9,5,15,17,330,0,0,0,0,0,5,255
1768176846369734,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140955,130716,5745,5842,0,0,0,0,649,10,5,15,17,330,0,0,0,0,0,5,255
1768176846379769,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,140955,130716,5745,5847,0,0,4294967180,0,650,9,5,15,17,330,0,0,0,0,0,5,255
1768176846389707,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141078,130832,5750,5847,0,0,0,0,651,4,5,15,17,330,0,0,0,0,0,5,255
1768176846399677,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141078,130832,5750,5847,0,0,0,0,652,1,5,15,17,330,0,0,0,0,0,5,255
1768176846409175,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141078,130832,5750,5847,0,0,0,0,652,17,5,15,17,330,0,0,0,0,0,5,255
1768176846419061,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141078,130832,5750,5847,0,0,0,0,653,18,5,15,17,330,0,0,0,0,0,5,255
1768176846429244,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141078,130832,5750,5847,0,0,0,0,654,18,5,15,17,330,0,0,0,0,0,5,255
1768176846439285,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141078,130832,5750,5847,0,0,0,0,656,1,5,15,17,330,0,0,0,0,0,5,255
1768176846448964,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141078,130832,5750,5847,0,0,0,0,657,1,5,15,17,330,0,0,0,0,0,5,255
1768176846458987,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141078,130832,5750,5847,0,0,0,0,658,0,5,15,17,330,0,0,0,0,0,5,255
1768176846469430,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141078,130832,5750,5847,0,0,0,0,659,2,5,15,17,330,0,0,0,0,0,5,255
1768176846479204,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141078,130832,5750,5847,0,0,0,0,660,1,5,15,17,330,0,0,0,0,0,5,255
1768176846489031,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,661,1,5,15,17,330,0,0,0,0,0,5,255
1768176846499434,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141201,130948,5755,5852,0,0,0,0,661,18,5,15,17,330,0,0,0,0,0,5,255
