timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,dl_thp_kbps,ul_thp_kbps,rlc_sdu_delay_us,pdcp_vol_dl_kb,pdcp_vol_ul_kb,prb_tot_dl,prb_tot_ul,log_rsrp,log_ph
1768227013843925,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27365787,160701493,363645,9512647,0,0,0,0,119,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,-44,0
1768227013853933,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27365910,160701493,363650,9512647,0,0,0,0,124,1,63398,3486507,203380,156593682,0,0,0,59917,3296271,104230,155790110,0.0,0.0,0.0,0,0,0,0,-44,0
1768227013863931,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27365910,160701609,363650,9512652,0,0,0,0,128,16,63398,3486507,203380,156593682,0,0,0,59917,3296271,104230,155790110,0.0,0.0,0.0,0,0,0,0,-44,0
1768227013873982,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27366033,160701609,363655,9512652,0,0,0,0,133,10,63398,3486507,203380,156593682,0,0,0,59917,3296271,104230,155790110,0.0,0.0,0.0,0,0,0,0,-44,0
1768227013883883,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27366156,160701725,363660,9512662,0,0,4294967272,0,138,10,63398,3486507,203380,156593682,0,0,0,59917,3296271,104230,155790110,0.0,0.0,0.0,0,0,0,0,-44,0
1768227013893944,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27366547,160702052,363676,9512728,0,0,4294967292,0,143,1,63399,3486565,203380,156593682,0,0,0,59918,3296326,104230,155790110,0.0,0.0,0.0,0,0,0,0,-44,0
1768227013904007,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27366793,160702319,363686,9512777,0,0,10,0,147,14,63402,3486685,203388,156593933,0,0,0,59920,3296437,104231,155790285,0.0,0.0,0.0,0,0,0,0,-44,0
1768227013914051,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27367162,160702415,363701,9512797,0,0,0,0,152,5,63404,3486754,203396,156594131,0,0,0,59921,3296500,104233,155790403,0.0,0.0,0.0,0,0,0,0,-44,0
1768227013923931,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27367162,160702415,363701,9512797,0,0,0,0,157,0,63406,3486815,203398,156594141,0,0,0,59922,3296555,104234,155790495,0.0,0.0,0.0,0,0,0,0,-44,0
1768227013934321,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27367285,160702531,363706,9512802,0,0,0,0,161,11,63406,3486815,203398,156594141,0,0,0,59922,3296555,104234,155790495,0.0,0.0,0.0,0,0,0,0,-44,0
