timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,dl_thp_kbps,ul_thp_kbps,rlc_sdu_delay_us,pdcp_vol_dl_kb,pdcp_vol_ul_kb,prb_tot_dl,prb_tot_ul,log_rsrp,log_ph,log_pcmax,est_rsrq,est_sinr_dl
1768227243879356,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29017713,166094395,432163,9810449,0,0,0,0,416,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,-44,0,0,-34.0,25.0
1768227243889252,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29017713,166094511,432163,9810454,0,0,0,0,420,12,65157,3583137,208639,160542655,0,0,0,61572,3387612,106876,159716213,0.0,0.0,0.0,0,0,0,0,-44,0,0,-34.0,25.0
1768227243899163,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29017836,166094511,432168,9810454,0,0,0,0,425,0,65157,3583137,208639,160542655,0,0,0,61572,3387612,106876,159716213,0.0,0.0,0.0,0,0,0,0,-44,0,0,-34.0,25.0
1768227243909325,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29017959,166094703,432173,9810479,0,0,4294967282,0,429,1,65157,3583137,208639,160542655,0,0,0,61572,3387612,106876,159716213,0.0,0.0,0.0,0,0,0,0,-44,0,0,-34.0,25.0
1768227243919153,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29018350,166094829,432189,9810505,0,0,4294967282,0,433,10,65161,3583315,208643,160542846,0,0,0,61575,3387778,106877,159716388,0.0,0.0,0.0,0,0,0,0,-44,0,0,-34.0,25.0
1768227243929177,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29018596,166095072,432199,9810559,0,0,4294967258,0,438,3,65162,3583318,208649,160542935,66,0,0,61576,3387841,106878,159716451,0.0,0.0,0.0,0,0,0,0,-44,0,0,-34.0,25.0
1768227243939228,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29018965,166095168,432214,9810569,0,0,0,0,443,4,65165,3583445,208656,160543111,0,0,0,61577,3387896,106880,159716598,0.0,0.0,0.0,0,0,0,0,-44,0,0,-34.0,25.0
1768227243949143,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29018965,166095168,432214,9810569,0,0,0,0,448,4,65165,3583445,208657,160543114,0,0,0,61577,3387896,106880,159716598,0.0,0.0,0.0,0,0,0,0,-44,0,0,-34.0,25.0
1768227243959245,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29019132,166095308,432224,9810897,0,0,15122,0,452,10,65165,3583445,208657,160543114,0,0,0,61577,3387896,106880,159716598,0.0,0.0,0.0,0,0,0,0,-44,0,0,-34.0,25.0
1768227243969399,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29020644,166122339,432300,9812739,0,0,12161,0,455,12,65167,3583508,208660,160543188,0,0,0,61578,3387953,106882,159716708,0.0,0.0,0.0,0,0,0,0,-44,0,0,-34.0,25.0
1768227243979358,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29022546,166159587,432397,9814835,0,0,33896,0,459,1,65185,3584552,208700,160573024,0,0,0,61597,3388998,106903,159748271,5133.28,210870.08,0.0,458,20907,63062,216728,-44,0,0,-34.0,25.0
1768227243989281,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,2433,29024616,166194657,432497,9816931,0,0,12944,0,462,7,65205,3585657,208745,160607664,0,0,0,61617,3390098,106926,159782840,5133.28,210870.08,0.0,458,20907,63062,216728,-44,0,0,-34.0,25.0
1768227243999151,20106,0,51.0,53.0,0.0,0.0,10,0,9,0,0,0,29025867,166212825,432558,9817568,0,0,4294967248,0,466,12,65228,3586991,208791,160644206,0,0,0,61638,3391253,106949,159817409,5133.28,210870.08,0.0,458,20907,63062,216728,-44,0,0,-34.0,25.0
1768227244009086,20106,0,51.0,53.0,0.0,0.0,10,0,9,0,0,0,29025867,166212873,432558,9817568,0,0,0,0,472,0,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,5133.28,210870.08,0.0,458,20907,63062,216728,-44,0,0,-34.0,25.0
1768227244019104,20106,0,51.0,53.0,0.0,0.0,10,0,9,0,0,0,29025990,166212989,432563,9817573,0,0,0,0,477,2,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,5133.28,210870.08,0.0,458,20907,63062,216728,-44,0,0,-34.0,25.0
1768227244029099,20106,0,51.0,53.0,0.0,0.0,10,0,9,0,0,0,29025990,166212989,432563,9817573,0,0,0,0,482,4,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,5133.28,210870.08,0.0,458,20907,63062,216728,-44,0,0,-34.0,25.0
1768227244039184,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026113,166213105,432568,9817578,0,0,0,0,487,2,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,5133.28,210870.08,0.0,458,20907,63062,216728,-44,0,0,-34.0,25.0
1768227244049081,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026113,166213105,432568,9817578,0,0,0,0,492,7,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,5133.28,210870.08,0.0,458,20907,63062,216728,-44,0,0,-34.0,25.0
1768227244059099,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026236,166213221,432573,9817583,0,0,0,0,497,13,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,5133.28,210870.08,0.0,458,20907,63062,216728,-44,0,0,-34.0,25.0
1768227244069320,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026236,166213221,432573,9817583,0,0,0,0,502,17,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,5133.28,210870.08,0.0,458,20907,63062,216728,-44,0,0,-34.0,25.0
1768227244079086,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026359,166213337,432578,9817588,0,0,0,0,507,17,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,214.16,6566.32,0.0,19,660,263,4432,-44,0,0,-34.0,25.0
1768227244089269,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026359,166213337,432578,9817588,0,0,0,0,512,13,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,214.16,6566.32,0.0,19,660,263,4432,-44,0,0,-34.0,25.0
1768227244099197,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026482,166213453,432583,9817593,0,0,0,0,517,14,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,214.16,6566.32,0.0,19,660,263,4432,-44,0,0,-34.0,25.0
1768227244109139,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026482,166213453,432583,9817593,0,0,0,0,522,6,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,214.16,6566.32,0.0,19,660,263,4432,-44,0,0,-34.0,25.0
1768227244119099,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026605,166213569,432588,9817598,0,0,0,0,527,5,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,214.16,6566.32,0.0,19,660,263,4432,-44,0,0,-34.0,25.0
1768227244129118,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026605,166213569,432588,9817598,0,0,0,0,532,2,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,214.16,6566.32,0.0,19,660,263,4432,-44,0,0,-34.0,25.0
1768227244139289,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026728,166213685,432593,9817603,0,0,0,0,536,16,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,214.16,6566.32,0.0,19,660,263,4432,-44,0,0,-34.0,25.0
1768227244149322,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026728,166213685,432593,9817603,0,0,0,0,542,2,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,214.16,6566.32,0.0,19,660,263,4432,-44,0,0,-34.0,25.0
1768227244159311,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026851,166213801,432598,9817608,0,0,0,0,547,6,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,214.16,6566.32,0.0,19,660,263,4432,-44,0,0,-34.0,25.0
1768227244169200,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026851,166213801,432598,9817608,0,0,0,0,552,6,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,214.16,6566.32,0.0,19,660,263,4432,-44,0,0,-34.0,25.0
1768227244179128,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29026974,166213917,432603,9817613,0,0,0,0,557,13,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,25,25,-44,0,0,-34.0,25.0
1768227244189116,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29027097,166213917,432608,9817613,0,0,0,0,563,1,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,25,25,-44,0,0,-34.0,25.0
