timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,dl_thp_kbps,ul_thp_kbps,rlc_sdu_delay_us,pdcp_vol_dl_kb,pdcp_vol_ul_kb,prb_tot_dl,prb_tot_ul,log_rsrp,log_ph,log_pcmax,log_sync,log_harq_dl,log_harq_ul,log_dlsch_err,log_ulsch_err,est_rsrq,est_sinr_dl
1768227356525444,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29946864,170808168,471345,10079236,0,0,0,0,357,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,-44,0,0,in-sync,1,2,0,0,-34.0,25.0
1768227356535228,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29946864,170808192,471345,10079252,0,0,4294967295,0,360,12,66933,3680331,213917,164492135,0,0,0,63236,3479458,109527,163642750,0.0,0.0,0.0,0,0,0,0,-44,0,0,in-sync,1,2,0,0,-34.0,25.0
1768227356545603,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29947233,170808294,471360,10079272,0,0,4294967248,0,364,1,66933,3680331,213919,164492173,0,0,0,63236,3479458,109527,163642750,0.0,0.0,0.0,0,0,0,0,-44,0,0,in-sync,1,2,0,0,-34.0,25.0
1768227356555258,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29948109,170825122,471401,10080868,0,0,18321,0,367,4,66935,3680394,213923,164492224,0,0,0,63237,3479515,109528,163642805,0.0,0.0,0.0,0,0,0,0,-44,0,0,in-sync,1,2,0,0,-34.0,25.0
1768227356565255,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29949774,170856703,471469,10082646,0,0,20481,0,370,2,66950,3681211,213955,164514294,0,0,0,63254,3480450,109546,163668411,0.0,0.0,0.0,0,0,0,0,-44,0,0,in-sync,1,2,0,0,-34.0,25.0
1768227356575497,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29951149,170883691,471525,10084330,0,0,29558,0,372,15,66964,3681968,213995,164545466,58,0,0,63267,3481165,109567,163699974,0.0,0.0,0.0,0,0,0,0,-44,0,0,in-sync,1,2,0,0,-34.0,25.0
1768227356585363,20106,0,51.0,53.0,0.0,0.0,10,0,9,0,123,0,29953082,170920666,471604,10086219,5,0,4294966042,0,376,3,66976,3682664,214031,164572569,0,0,0,63278,3481770,109585,163727028,0.0,0.0,0.0,0,0,0,0,-44,0,0,in-sync,1,2,0,0,-34.0,25.0
1768227356595204,20106,0,51.0,53.0,0.0,0.0,10,0,9,0,0,0,29953574,170925877,471624,10086229,0,0,0,0,380,3,66997,3683772,214075,164607091,0,0,0,63295,3482705,109605,163757088,0.0,0.0,0.0,0,0,0,0,-44,0,0,in-sync,1,2,0,0,-34.0,25.0
1768227356605564,20106,0,51.0,53.0,0.0,0.0,11,0,9,0,0,0,29953707,170925877,471629,10086229,0,0,0,0,384,3,66997,3683772,214076,164607094,0,0,0,63295,3482705,109605,163757088,0.0,0.0,0.0,0,0,0,0,-44,0,0,in-sync,1,2,0,0,-34.0,25.0
1768227356615175,20106,0,51.0,53.0,0.0,0.0,11,0,9,0,0,0,29953707,170925877,471629,10086229,0,0,0,0,387,17,66997,3683772,214076,164607094,0,0,0,63295,3482705,109605,163757088,0.0,0.0,0.0,0,0,0,0,-44,0,0,in-sync,1,2,0,0,-34.0,25.0
